forum,title,keywords,abstract,pdf,match,authors,venue,year,type
https://openreview.net/forum?id=zuyjbrJlCCD,Optimal Query Complexity of Secure Stochastic Convex Optimization,Optimal Query Complexity of Secure Stochastic Convex Optimization,Optimal Query Complexity of Secure Stochastic Convex Optimization,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/6f3a770e5af1fd4cadc5f004b81e1040-Paper.pdf,stupidity,"['Wei Tang', 'Chien-Ju Ho', 'Yang Liu']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zulG-ngREJU,Robustness of Bayesian Neural Networks to Gradient-Based Attacks,Robustness of Bayesian Neural Networks to Gradient-Based Attacks,Robustness of Bayesian Neural Networks to Gradient-Based Attacks,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/b3f61131b6eceeb2b14835fa648a48ff-Paper.pdf,stupidity,"['Ginevra Carbone', 'Matthew Wicker', 'Luca Laurenti', 'Andrea Patane', 'Luca Bortolussi', 'Guido Sanguinetti']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=ztzU8A2aZ0,Scalable Multi-Agent Reinforcement Learning for Networked Systems with Average Reward,Scalable Multi-Agent Reinforcement Learning for Networked Systems with Average Reward,Scalable Multi-Agent Reinforcement Learning for Networked Systems with Average Reward,https://openreview.nethttps://arxiv.org/pdf/2006.06626v1.pdf,stupidity,"['Guannan Qu', 'Yiheng Lin', 'Adam Wierman', 'Na Li']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zrF0FjgreR,Modeling Noisy Annotations for Crowd Counting,Modeling Noisy Annotations for Crowd Counting,Modeling Noisy Annotations for Crowd Counting,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/22bb543b251c39ccdad8063d486987bb-Paper.pdf,stupidity,"['Jia Wan', 'Antoni Chan']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zr2KjJY_3eW,Bayesian filtering unifies adaptive and non-adaptive neural network optimization methods,Bayesian filtering unifies adaptive and non-adaptive neural network optimization methods,Bayesian filtering unifies adaptive and non-adaptive neural network optimization methods,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/d33174c464c877fb03e77efdab4ae804-Paper.pdf,stupidity,['Laurence Aitchison'],NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zlBnsK2I2hA,Unsupervised Learning of Dense Visual Representations,Unsupervised Learning of Dense Visual Representations,Unsupervised Learning of Dense Visual Representations,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/3000311ca56a1cb93397bc676c0b7fff-Paper.pdf,stupidity,"['Pedro O. Pinheiro', 'Amjad Almahairi', 'Ryan Y. Benmaleck', 'Florian Golemo', 'Aaron Courville']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zjyDdNaDkVP,Policy Improvement from Multiple Experts,Policy Improvement from Multiple Experts,Policy Improvement from Multiple Experts,https://openreview.nethttps://arxiv.org/pdf/2007.00795v1.pdf,stupidity,"['Ching-An Cheng', 'Andrey Kolobov', 'Alekh Agarwal']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zjG9keu-B36,Exploiting the Surrogate Gap in Online Multiclass Classification,Exploiting the Surrogate Gap in Online Multiclass Classification,Exploiting the Surrogate Gap in Online Multiclass Classification,https://openreview.nethttps://arxiv.org/pdf/2007.12618v1.pdf,stupidity,['Dirk van der Hoeven'],NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zi6yoyj-oub,Restoring Negative Information in Few-Shot Object Detection,Restoring Negative Information in Few-Shot Object Detection,Restoring Negative Information in Few-Shot Object Detection,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/240ac9371ec2671ae99847c3ae2e6384-Paper.pdf,stupidity,"['Yukuan Yang', 'Fangyun Wei', 'Miaojing Shi', 'Guoqi Li']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zhLAld5n4TE,SGD with shuffling: optimal rates without component convexity and large epoch requirements,SGD with shuffling: optimal rates without component convexity and large epoch requirements,SGD with shuffling: optimal rates without component convexity and large epoch requirements,https://openreview.nethttps://arxiv.org/pdf/2006.06946v2.pdf,stupidity,"['Kwangjun Ahn', 'Chulhee Yun', 'Suvrit Sra']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zfLbyOj2toe,Distributional Robustness with IPMs and links to Regularization and GANs,Distributional Robustness with IPMs and links to Regularization and GANs,Distributional Robustness with IPMs and links to Regularization and GANs,https://openreview.nethttps://arxiv.org/pdf/2006.04349v1.pdf,stupidity,['Hisham Husain'],NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zaeVo76biw,Intra Order-preserving Functions for Calibration of Multi-Class Neural Networks,Intra Order-preserving Functions for Calibration of Multi-Class Neural Networks,Intra Order-preserving Functions for Calibration of Multi-Class Neural Networks,https://openreview.nethttps://arxiv.org/pdf/2003.06820v1.pdf,stupidity,"['Amir Rahimi', 'Amirreza Shaban', 'Ching-An Cheng', 'Byron Boots', 'Richard Hartley']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zUkgmnkgk5_,Introducing Routing Uncertainty in Capsule Networks,Introducing Routing Uncertainty in Capsule Networks,Introducing Routing Uncertainty in Capsule Networks,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/47fd3c87f42f55d4b233417d49c34783-Paper.pdf,stupidity,"['Fabio De Sousa Ribeiro', 'Georgios Leontidis', 'Stefanos Kollias']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zUhJjwJFO1,Fine-Grained Dynamic Head for Object Detection,Fine-Grained Dynamic Head for Object Detection,Fine-Grained Dynamic Head for Object Detection,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/7f6caf1f0ba788cd7953d817724c2b6e-Paper.pdf,stupidity,"['Lin Song', 'Yanwei Li', 'Zhengkai Jiang', 'Zeming Li', 'Hongbin Sun', 'Jian Sun', 'Nanning Zheng']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zP0rh1RL8y-,On Warm-Starting Neural Network Training,On Warm-Starting Neural Network Training,On Warm-Starting Neural Network Training,https://openreview.nethttps://arxiv.org/pdf/1910.08475v2.pdf,stupidity,"['Jordan T. Ash', 'Ryan P. Adams']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zOmzHhLASGU,Regularizing Towards Permutation Invariance in Recurrent Models,Regularizing Towards Permutation Invariance in Recurrent Models,Regularizing Towards Permutation Invariance in Recurrent Models,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/d58f36f7679f85784d8b010ff248f898-Paper.pdf,stupidity,"['Edo Cohen-Karlik', 'Avichai Ben David', 'Amir Globerson']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zMeB1-kkreg,Adversarial Crowdsourcing Through Robust Rank-One Matrix Completion,Adversarial Crowdsourcing Through Robust Rank-One Matrix Completion,Adversarial Crowdsourcing Through Robust Rank-One Matrix Completion,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/f86890095c957e9b949d11d15f0d0cd5-Paper.pdf,stupidity,"['Qianqian Ma', 'Alex Olshevsky']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zKWvhDpWrg,From Predictions to Decisions: Using Lookahead Regularization,From Predictions to Decisions: Using Lookahead Regularization,From Predictions to Decisions: Using Lookahead Regularization,https://openreview.nethttps://arxiv.org/pdf/2006.11638v2.pdf,stupidity,"['Nir Rosenfeld', 'Sophie Hilgard', 'Sai Srivatsa Ravindranath', 'David C. Parkes']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zIrp_U04K9j,Finer Metagenomic Reconstruction via Biodiversity Optimization,Finer Metagenomic Reconstruction via Biodiversity Optimization,Finer Metagenomic Reconstruction via Biodiversity Optimization,https://openreview.nethttp://proceedings.neurips.cc/paper/2020/file/6811f9b2bf86bf64e3f320973119b959-Paper.pdf,stupidity,"['Simon Foucart', 'David Koslicki']",NeurIPS.cc,2020,Conference
https://openreview.net/forum?id=zG8BH6tDkUi,Neural Execution Engines: Learning to Execute Subroutines,Neural Execution Engines: Learning to Execute Subroutines,Neural Execution Engines: Learning to Execute Subroutines,https://openreview.nethttps://arxiv.org/pdf/2006.08084v2.pdf,stupidity,"['Yujun Yan', 'Kevin Swersky', 'Danai Koutra', 'Parthasarathy Ranganathan', 'Milad Hashemi']",NeurIPS.cc,2020,Conference
